iter	Passed	Remaining
0	1	147
1	2	144
2	4	134
3	5	126
4	6	124
5	7	122
6	9	124
7	10	124
8	13	131
9	14	129
10	15	127
11	17	126
12	18	123
13	19	122
14	21	121
15	22	118
16	23	116
17	25	114
18	26	111
19	27	111
20	29	110
21	30	107
22	31	106
23	33	104
24	34	102
25	35	101
26	36	99
27	38	97
28	39	96
29	40	94
30	41	93
31	43	92
32	45	91
33	46	89
34	48	89
35	49	88
36	51	87
37	52	86
38	54	85
39	56	84
40	58	84
41	59	81
42	61	81
43	63	81
44	65	79
45	66	78
46	68	76
47	69	75
48	70	73
49	72	72
50	73	70
51	75	69
52	76	67
53	77	66
54	78	64
55	80	62
56	81	61
57	82	59
58	83	58
59	85	56
60	86	55
61	88	54
62	89	52
63	90	51
64	92	49
65	93	48
66	94	46
67	96	45
68	97	43
69	98	42
70	100	40
71	101	39
72	103	38
73	104	36
74	105	35
75	106	33
76	108	32
77	109	30
78	110	29
79	111	27
80	112	26
81	113	24
82	115	23
83	117	22
84	118	20
85	120	19
86	121	18
87	122	16
88	123	15
89	125	13
90	126	12
91	127	11
92	128	9
93	129	8
94	131	6
95	132	5
96	134	4
97	135	2
98	136	1
99	137	0
